city_code,latitude,longitude
aillon le jeune,45.60880694,6.087894098
aillon le vieux,45.650444716,6.087489525
ailloncourt,47.756772764,6.387651806
ailly,49.158098248,1.244404254
ailly le haut clocher,50.081462066,1.995567382
ailly sur noye,49.746594378,2.346565802
ailly sur somme,49.91314894,2.186320431
aimargues,43.671856649,4.203894749
aime la plagne,45.566465331,6.613573271
ainay le chateau,46.715563658,2.720484548
ainay le vieil,46.664061045,2.544480969
aincille,43.134379392,-1.197226885
aincourt,49.072575712,1.77372219
aincreville,49.369615691,5.116082516
aingeray,48.737208698,6.018418018
aingeville,48.205048525,5.768495605
aingoulaincourt,48.456472965,5.27685469
ainharp,43.255001544,-0.935569436
ainhice mongelos,43.214132967,-1.159167926
ainhoa,43.297483814,-1.485227226
ainvelle,47.848140879,6.244383323
airaines,49.97210339,1.944740471
aire,49.470694956,4.163762094
aire sur l adour,43.699142452,-0.264655329
aire sur la lys,50.644306454,2.395506273
airel,49.212252923,-1.079534735
airion,49.422455866,2.418512833
airon notre dame,50.441355001,1.66747819
airon st vaast,50.427562917,1.671388367
airoux,43.366970654,1.874231985
airvault,46.828329637,-0.153347126
aiserey,47.172751002,5.169104193
aisey et richecourt,47.888018257,5.955431583
aisey sur seine,47.747838175,4.579054052
aisonville et bernoville,49.930322863,3.511399522
aissey,47.269953499,6.326897797
aisy sous thil,47.393645537,4.278823557
aisy sur armancon,47.657016195,4.20924168
aiti,42.404034764,9.228973435
aiton,45.573232172,6.256701971
aix,45.613360908,2.392246863
aix en ergny,50.586489042,1.99974374
aix en issart,50.480072954,1.861719837
aix en pevele,50.497966562,3.305339428
aix en provence,43.536112304,5.398630399
aix la fayette,45.50712609,3.528727604
aix les bains,45.696880561,5.903940196
aix noulette,50.421088701,2.712573894
aix villemaur palis,48.22692236,3.745810669
aixe sur vienne,45.798149794,1.131741221
aizac,44.719957976,4.330312142
aizanville,48.112225515,4.894739168
aize,47.10847279,1.707164089
aizecourt le bas,49.986133956,3.028473235
aizecourt le haut,49.966800462,2.982476597
aizelles,49.485003991,3.818515071
aizenay,46.738516931,-1.626759742
aizier,49.43028264,0.6261445330000001
aizy jouy,49.438697879,3.51124666
ajac,43.044692688,2.136515912
ajaccio,41.934723456,8.700937555
ajain,46.211067108,1.996082188
ajat,45.160829244,1.027376129
ajoncourt,48.845103358,6.30413448
ajoux,44.754643506,4.485312969
alaigne,43.097978233,2.092076593
alaincourt,47.946336979,6.099354278
alaincourt la cote,48.896815047,6.340315036
alairac,43.181792176,2.23575246
alan,43.219953502,0.927182617
alando,42.307923468,9.286438857
alata,41.973629147,8.73166165
alba la romaine,44.554270744,4.595462039
alban,43.884627312,2.456410362
albaret le comtal,44.867267846,3.143984914
albaret ste marie,44.886294946,3.251376295
albas,43.005737518,2.726652801
albe,48.361314302,7.33689019
albefeuille lagarde,44.048440837,1.273685621
albepierre bredons,45.07719203,2.819903907
albert,50.003897613,2.648835031
albertacce,42.311736325,8.924113162
albertville,45.668297972,6.404333115
albestroff,48.92994713,6.869756978
albi,43.925846212,2.147453419
albiac,44.767995466,1.813268379
albias,44.081453454,1.44893286
albieres,42.946401625,2.445888815
albies,42.75449595,1.698141074
albiez le jeune,45.239249084,6.358249278
albiez montrond,45.188708798,6.339642267
albignac,45.147333897,1.67798571
albigny sur saone,45.864099485,4.830633796
albine,43.444223338,2.527445115
albitreccia,41.860660612,8.8777584
albon,45.238965428,4.8623533
albon d ardeche,44.814986241,4.42533053
